,BER
0,0.18685625
1,0.16304375
2,0.14244375
3,0.12165625
4,0.10111250000000001
5,0.08160625
6,0.0623
7,0.0441625
8,0.02993125
9,0.018987499999999997
10,0.0106125
11,0.00554375
12,0.00288125
13,0.0012125
14,0.0005499999999999999
15,0.00026250000000000004
