,BER
0,0.196640625
1,0.169015625
2,0.145984375
3,0.117671875
4,0.094515625
5,0.0724375
6,0.05325
7,0.03265625
8,0.022125
9,0.013359375
10,0.0081875
11,0.005359375
12,0.002765625
13,0.00225
14,0.001296875
15,0.000890625
