,BER
0,0.17675625
1,0.15800625
2,0.1368875
3,0.117375
4,0.09846875000000001
5,0.07756874999999999
6,0.0601
7,0.0430875
8,0.029925
9,0.01754375
10,0.01075625
11,0.00524375
12,0.00248125
13,0.0010375
14,0.000475
15,0.00016875
