,BER
0,0.15628125
1,0.138609375
2,0.11884375
3,0.0980625
4,0.077796875
5,0.06190625
6,0.04603125
7,0.03109375
8,0.020625
9,0.014234375
10,0.008734375
11,0.004453125
12,0.002859375
13,0.0020625
14,0.001421875
15,0.0009375
